Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
"4","Algeria","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","21485.890000","Qm","23012.640000","Qm","16241.860000","Qm","16854.580000","Qm","10044.860000","Qm","12819.720000","A","5718.500000","Qm","32367.060000","Qm","30986.210000","Qm","26138.290000","A","36665.380000","A","46330.840000","A","51550.190000","Qm","41340.890000","Qm","28505.480000","A","30603.830000","A"
"4","Algeria","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","1.450000","Qm","0.000000","Qm","30406.000000","Qm","3408.000000","Qm","14.230000","Qm","1384.000000","Qm","2320.530000","Qm","18.000000","Qm","6.000000","Qm","1380.000000","Qm","3.000000","Qm","9.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm"
"4","Algeria","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","23463.000000","Fb","6377.000000","Fb","57820.000000","Fb","32499.000000","Fb","31784.000000","Fb","52394.000000","Fb","20760.000000","Fb","48800.000000","Fm","32800.000000","Fm","36500.000000","Fm","57500.000000","Fm","71300.000000","Fm","78000.000000","Fm","63200.000000","Fm","58800.000000","Fm","58800.000000","Fm"
"4","Algeria","3104","Nutrient potash K2O (total)","5510","Production","tonnes","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","Fm","0.000000","Fm","0.000000","Fm","0.000000","Fm","0.000000","Fm","0.000000","Fm","0.000000","Fm","0.000000","Fm"
"4","Algeria","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","22485.550000","Qm","24376.160000","Qm","25519.810000","Qm","19547.680000","Qm","24615.370000","Qm","24523.000000","A","19912.270000","Qm","19606.890000","Qm","28765.470000","Qm","31730.690000","A","34428.930000","A","34464.100000","A","42314.160000","Qm","49322.840000","Qm","28541.790000","A","31554.140000","A"
"4","Algeria","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","100.000000","Qm","50.000000","Qm","270.130000","Qm","18.000000","Qm","6.000000","Qm","0.000000","Qm","3.000000","Qm","9.000000","Qm","6.000000","Qm","0.040000","Qm","0.000000","Qm","0.000000","Qm"
"4","Algeria","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","21266.000000","Fb","21578.000000","Fb","25501.000000","Fb","19221.000000","Fb","23441.000000","Fb","22728.000000","Fb","20369.000000","Fb","21100.000000","Fm","25600.000000","Fm","25500.000000","Fm","30000.000000","Fm","33000.000000","Fm","36000.000000","Fm","38000.000000","Fm","26700.000000","Fm","26700.000000","Fm"
"7","Angola","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E"
"7","Angola","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","3497.700000","A","1917.850000","A","8550.020000","A","4432.930000","A","8286.890000","A","5065.090000","Qm","8854.200000","A","10395.950000","Qm","10935.510000","A","12552.260000","Qm","19407.290000","Qm","20416.570000","A","27605.690000","Qm","25468.810000","Qm","20765.240000","A","26699.880000","A"
"7","Angola","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","6.240000","A","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","A","0.000000","E","0.000000","A","6.050000","A","2.640000","A","14.540000","A","0.000000","A","8.580000","A","0.030000","A","0.350000","A"
"7","Angola","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","2757.000000","Fb","1787.000000","Fb","7187.000000","Fb","3682.000000","Fb","6641.000000","Fb","5584.000000","Fb","8172.000000","Fb","10468.000000","Fb","17369.000000","Fb","16381.000000","Fb","19423.090000","Fb","20439.570000","Fb","27612.520000","Fb","25494.280000","Fb","20776.770000","Fb","26714.790000","Fb"
"7","Angola","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E"
"7","Angola","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","1002.530000","A","1465.460000","A","3656.930000","A","1494.340000","A","1387.190000","A","1458.570000","Qm","4322.120000","A","4257.860000","Qm","4197.100000","A","4183.660000","Qm","7944.560000","Qm","9444.510000","A","7805.940000","Qm","5149.610000","Qm","6556.610000","A","11734.210000","A"
"7","Angola","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","0.000000","A","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","A","0.000000","E","0.000000","A","0.000000","A","2.640000","A","0.000000","A","0.000000","A","0.090000","A","0.070000","A","0.060000","A"
"7","Angola","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","1006.000000","Fb","1461.000000","Fb","3643.000000","Fb","1501.000000","Fb","1378.000000","Fb","2405.000000","Fb","3915.000000","Fb","5097.000000","Fb","8629.000000","Fb","16868.000000","Fb","7944.560000","Fb","9444.630000","Fb","7866.020000","Fb","5247.390000","Fb","6554.240000","Fb","11948.840000","Fb"
