Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"4","Algeria","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","22485.550000","24376.160000","25519.810000","19547.680000","24615.370000","24523.000000","19912.270000","19606.890000","28765.470000","31730.690000","34428.930000","34464.100000","42314.160000","49322.840000","28541.790000","31554.140000"
"4","Algeria","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","0.000000","0.000000","0.000000","100.000000","50.000000","270.130000","18.000000","6.000000","0.000000","3.000000","9.000000","6.000000","0.040000","0.000000","0.000000"
"4","Algeria","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","21266.000000","21578.000000","25501.000000","19221.000000","23441.000000","22728.000000","20369.000000","21100.000000","25600.000000","25500.000000","30000.000000","33000.000000","36000.000000","38000.000000","26700.000000","26700.000000"
"7","Angola","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"7","Angola","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","3497.700000","1917.850000","8550.020000","4432.930000","8286.890000","5065.090000","8854.200000","10395.950000","10935.510000","12552.260000","19407.290000","20416.570000","27605.690000","25468.810000","20765.240000","26699.880000"
"7","Angola","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","6.240000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","6.050000","2.640000","14.540000","0.000000","8.580000","0.030000","0.350000"
"7","Angola","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","2757.000000","1787.000000","7187.000000","3682.000000","6641.000000","5584.000000","8172.000000","10468.000000","17369.000000","16381.000000","19423.090000","20439.570000","27612.520000","25494.280000","20776.770000","26714.790000"
"7","Angola","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"7","Angola","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","1002.530000","1465.460000","3656.930000","1494.340000","1387.190000","1458.570000","4322.120000","4257.860000","4197.100000","4183.660000","7944.560000","9444.510000","7805.940000","5149.610000","6556.610000","11734.210000"
"7","Angola","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2.640000","0.000000","0.000000","0.090000","0.070000","0.060000"
"7","Angola","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","1006.000000","1461.000000","3643.000000","1501.000000","1378.000000","2405.000000","3915.000000","5097.000000","8629.000000","16868.000000","7944.560000","9444.630000","7866.020000","5247.390000","6554.240000","11948.840000"
"7","Angola","3104","Nutrient potash K2O (total)","5510","Production","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"7","Angola","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","1480.700000","2853.190000","4277.870000","2830.700000","5561.990000","2354.910000","7935.790000","7116.330000","7208.680000","8183.570000","14349.780000","15509.190000","9952.460000","8707.470000","8151.230000","13672.440000"
"7","Angola","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","2.640000","0.000000","60.000000","12.300000","0.020000","30.130000"
"7","Angola","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","1380.000000","2655.000000","4025.000000","2277.000000","4059.000000","3248.000000","15993.000000","6324.000000","8565.000000","23075.000000","14349.780000","15509.190000","9892.460000","8695.170000","8151.210000","13642.310000"
"8","Antigua and Barbuda","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"8","Antigua and Barbuda","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","9.670000","33.090000","3.310000","83.110000","42.010000","10.190000","20.990000","31.790000","6.900000","15.600000","24.330000","30.210000","19.220000","7.690000","350.430000","7.420000"
"8","Antigua and Barbuda","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","0.010000","526.970000","0.230000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.020000","0.010000","0.000000","0.000000"
"8","Antigua and Barbuda","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","10.000000","33.000000","0.000000","17.000000","9.000000","2.000000","9.000000","23.000000","4.000000","4.000000","26.700000","32.410000","20.620000","8.520000","61.160000","8.980000"
"8","Antigua and Barbuda","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"8","Antigua and Barbuda","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","16.000000","33.630000","13.350000","2.840000","17.220000","2.790000","9.080000","15.370000","3.720000","6.720000","8.360000","10.400000","8.510000","10.560000","6.660000","6.500000"
"8","Antigua and Barbuda","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","0.000000","526.970000","0.000000","0.360000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.010000","0.000000","0.000000","0.000000"
"8","Antigua and Barbuda","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","19.000000","34.000000","14.000000","6.000000","5.000000",,"5.000000","15.000000","4.000000","7.000000","8.360000","10.400000","8.500000","10.560000","6.660000","6.500000"
"8","Antigua and Barbuda","3104","Nutrient potash K2O (total)","5510","Production","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"8","Antigua and Barbuda","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","16.000000","33.560000","13.090000","17.830000","2.840000","1.920000","8.260000","14.600000","3.690000","2.240000","4.330000","7.310000","2.690000","2.820000","5.030000","5.560000"
"8","Antigua and Barbuda","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","526.970000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.010000","0.000000","0.000000","0.000000"
"8","Antigua and Barbuda","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","23.000000","42.000000","16.000000","1.000000","4.000000",,,"15.000000","4.000000","2.000000","4.330000","7.310000","2.680000","2.820000","5.030000","5.560000"
"9","Argentina","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","523700.000000","607492.000000","627693.000000","574741.000000","659115.000000","468938.000000","405948.000000","514223.000000","433113.000000","533256.000000","542503.000000","630491.640000","470858.260000","431740.000000","542945.760000","696686.610000"
"9","Argentina","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","212605.810000","269217.820000","370178.550000","303617.740000","393020.270000","639072.270000","431998.700000","176612.640000","546671.460000","552742.430000","401568.510000","401953.560000","412177.130000","285918.530000","549659.750000","519949.290000"
"9","Argentina","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","227023.530000","233248.590000","196727.610000","231929.690000","259302.880000","114946.980000","69960.690000","213024.730000","62176.310000","82384.040000","164342.040000","97804.250000","29755.620000","57123.150000","40612.090000","20350.580000"
"9","Argentina","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","534592.000000","740659.000000","796423.000000","640406.000000","787677.000000","981351.000000","761959.000000","477061.000000","771245.000000","857190.000000","734890.000000","788154.000000","784091.520000","603481.310000","929563.810000","975843.080000"
"9","Argentina","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes",,,,,,,,,,,,"51600.000000","68400.000000","71000.000000","80000.000000","82800.000000"
"9","Argentina","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","285514.280000","418917.900000","590783.750000","559326.710000","674133.830000","820464.600000","437261.810000","302043.780000","557540.830000","721179.730000","515615.320000","518265.210000","539414.980000","378601.220000","688841.760000","579033.930000"
"9","Argentina","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","23.520000","171.850000","821.630000","1680.530000","558.220000","1018.030000","5754.720000","6498.610000","11775.820000","6975.140000","6681.820000","2587.650000","19420.520000","28128.030000","70116.400000","51965.700000"
"9","Argentina","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","286608.000000","420808.000000","565709.000000","513245.000000","618332.000000","766161.000000","436378.000000","296898.000000","683667.000000","724710.000000","595678.000000","601137.000000","561082.920000","424761.280000","649175.190000","640480.160000"
"9","Argentina","3104","Nutrient potash K2O (total)","5510","Production","tonnes",,,,,,,,,,,,"0.000000","400.000000","400.000000","600.000000","660.000000"
"9","Argentina","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","21352.510000","39799.160000","34445.490000","46120.960000","38422.330000","47726.250000","45332.950000","15472.840000","46302.850000","38373.390000","40467.690000","41276.030000","53177.680000","45319.930000","55265.160000","62032.180000"
"9","Argentina","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","8.360000","164.890000","800.720000","1633.090000","150.120000","658.720000","1700.310000","1255.640000","2564.760000","5278.520000","1564.670000","513.840000","29.470000","43.210000","27.810000","83.270000"
"9","Argentina","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","21178.000000","38843.000000","32256.000000","43894.000000","37339.000000","47058.000000","43378.000000","14235.000000","33214.000000","35943.000000","41996.000000","38736.000000","34479.880000","40569.870000","42616.750000","43342.980000"
"1","Armenia","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","3000.000000",,,,,,,,,,,"0.000000","0.000000","0.000000","0.000000","0.000000"
"1","Armenia","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","12951.190000","10615.450000","12593.290000","10383.260000","12510.790000","6959.140000","8211.460000","13467.620000","10547.960000","12343.910000","17763.920000","20263.700000","16917.120000","22147.000000","48133.430000","30906.240000"
"1","Armenia","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","0.050000","0.000000","0.030000","0.070000","0.170000","0.060000","0.680000","0.000000","0.000000","0.230000","20.300000","10.230000","0.150000","20.130000","0.100000","34.880000"
"1","Armenia","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","15700.000000","10450.000000","13187.000000","10251.000000","57900.000000","26808.000000","24331.000000","39541.900000","29587.400000","35946.900000","57446.800000","58593.900000","48635.700000","63282.000000","146292.200000","90106.300000"
"1","Armenia","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes",,,,,,,,,,,,"0.000000","0.000000","0.000000","0.000000","0.000000"
"1","Armenia","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","6.720000","8.230000","1208.240000","34.490000","225.020000","96.040000","32.690000","86.270000","339.630000","148.510000","324.010000","480.300000","1451.760000","890.350000","385.770000","343.340000"
"1","Armenia","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","3.840000","0.000000","0.000000","0.130000","0.000000","0.080000","0.150000","0.000000","0.000000","0.000000"
"1","Armenia","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","8.000000","9.000000","1209.000000","33.000000","0.000000","0.000000","23.000000","0.300000","34.200000","415.500000","65.600000","559.400000","2777.100000","1676.000000","324.000000","23.000000"
"1","Armenia","3104","Nutrient potash K2O (total)","5510","Production","tonnes",,,,,,,,,,,,"0.000000","0.000000","0.000000","0.000000","0.000000"
"1","Armenia","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","0.360000","4.200000","4.500000","42.240000","6.920000","37.030000","42.780000","37.850000","34.400000","72.400000","362.600000","148.250000","1190.650000","616.640000","804.610000","372.470000"
"1","Armenia","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","6.100000","583.130000","0.000000","0.130000","0.000000","0.080000","0.150000","0.000000","0.000000","0.000000"
"1","Armenia","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","0.000000","5.000000","5.000000","41.000000","0.500000","12.000000","36.300000","5.200000","4.000000","3.900000","514.200000","39.300000","1700.300000","81.500000","914.700000","210.000000"
"10","Australia","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","354464.000000","314751.000000","326123.000000","338588.000000","337240.000000","392912.000000","330489.000000","543309.000000","285633.000000","317961.000000","237495.000000","716831.600000","342300.000000","413300.000000","423400.000000","423400.000000"
"10","Australia","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","731465.140000","730643.180000","889972.700000","761294.000000","628086.660000","601973.320000","688933.550000","537512.200000","863599.570000","947913.610000","1021000.090000","1098287.050000","1210757.050000","1098521.250000","1377809.340000","1280705.890000"
"10","Australia","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","84102.840000","101526.790000","82102.200000","124387.760000","110463.040000","134796.860000","173772.860000","223091.840000","157808.990000","149582.100000","118878.500000","73565.470000","82320.460000","102064.050000","137836.120000","96808.670000"
"10","Australia","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","980100.000000","932900.000000","1056200.000000","952300.000000","858000.000000","848800.000000","835000.000000","849800.000000","981800.000000","1098900.000000","1124600.000000","1222100.000000","1253496.940000","1171515.680000","1054102.770000","1090472.070000"
"10","Australia","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","637312.000000","625824.000000","637634.000000","596768.000000","585820.000000","747920.000000","538752.000000","540088.000000","412475.000000","572887.000000","582856.000000","305343.990000","321334.690000","561679.190000","524512.420000","464767.390000"
